S.No.,Word,Meaning,Synonym,Conn.,POS,Sentence
1,fervid / vent,"showing earnest feeling, zealous, vehement     ",,p,A,India has fervid cricket fans.
2,fervor,"warmth of feelings, earnestness        ",,p,N,The novel captures the revolutionary fervor of the period.
3,fetid,"stinking, malodorous, putrid, foetid",,n,A,The fetid odour of rotting vegetables.
4,fetter,"to shackle, put in chains, to restrain",,n,V,He found himself fettered by responsibilities.
5,fidelity,loyalty; accuracy of sound reproduction,,p,N,No one doubts his fidelity to his country.
6,figurehead,a head who has no real power,,z,N,The king is just a figurehead; the government is really run by the PM.
7,filibuster,intentional obstruction (esp to delay legislatve action),,n,N,They engaged in a filibuster that lasted for over a month.
8,flag,"droop, sink, or settle from or as if from pressure or loss of tautness",,n,V,Our interest flagged as the speaker droned on.
9,flak,"criticism, aspersion, calumny, excoriation ; anti-aircraft guns        ",,n,N,He took a lot of flak from the other kids for his unusual appearance.
10,fledge / -ed,"grow feathers, of birds, ant. of molt / able to fly, trained, experienced       ",,p,A,The chicks haven't yet fledged.
11,fledgling,"young and inexperienced, young bird that has become capable of flying",,n,A / N,Rashid is a fledgling cricketer.
12,fleeting,"lasting for a markedly brief time, moving past swiftly, antonym of perennial",,n,A,I caught a fleeting glimpse of the spaceship.
13,flinch,"draw, move back, wince        ",,n,V,He flinched when I caught him off guard.
14,flout,"reject, mock, to go against (tradition), sneer",,n,V,"Despite warnings, he has continued to flout school rules."
15,foible,defect of character (a person is wrongly proud)    ,,n,A,His foibles included gambling occasionally. 
16,foment,"to stir up public opinion, instigate",,n,V,He was accused of fomenting violence.
17,foppish,like a man who pays too much attention to his clothes ,,n,A,His foppish attitude started annoying me.
18,forage,food for horses and cattle    ; to search for something,,z,N,He had to forage for daily groceries amidst the protests.
19,forbear / ance,"refrain from, be patient, ancestor / patience, willingness to wait        ",,p,V / CN,We decided to forbear provoking him any further.
20,ford,shallow place in a river (to cross)     ,,z,N,It was easy to cross the ford that came in the way.
21,forestall,"prevent by taking action in advance, preempt     ",,z,V,He forestalled critics by offering a defence of the project.
22,forswear,"renounce, disallow, repudiate         ",,n,V,He foreswore cheese to lose weight.
23,fortuitous,"happening by fortunate accident or chance, serendipitous",,p,A,His meeting with the CEO was entirely fortuitous.
24,fractious,"stubbornly resistant to authority, refractory ; Easily irritated or annoyed",,n,A,The fractious crowd grew violent.
25,fritter,"spend or waste unwisely, profligate, spendthrift",,n,V,He frittered away his health on drinking heavily.
26,froward,"not willing to yield or comply, stubborn, intransigence, intractable",,n,A,This is a very froward generation of humans.
27,fulgent,"shining intensely, dazzling",,p,A,The diamond is a fulgent piece of stone.
28,fulmination,"bitter protest, tirade, malediction, obloquy, jeremiad, diatribe",,n,N,This article is a fulmination against the proposed tax increase.
29,fulsome,"disgusting, offensive due to excessiveness       ",,n,A,They were fulsome in their praise of her efforts.
30,furtive,"marked by stealth, covert, clandestine, surreptitious",,n,A,He cast a furtive glance towards us.
31,gaffe,"socially awkward or tactless act, rustic, gaucherie",,n,A,He committed an embarrassing gaffe when he mispronounced her name.
32,gainsay,"to deny, to oppose",,n,V,There is no gainsaying/denying such evidence.
33,gamut,"complete extent or range, plethora",,z,N,He experienced the full gamut of human emotions on becoming a father.
34,garble,make unfair selection from facts     ,,n,V,His nervousness garbled his diction.
35,garish,"gaudy, tastelessly showy, tawdry, raffish",,n,A,Our new neighbours are outstandingly garish in taste of fashion.
36,garner,to gather and save to store up     ,,z,V,She garnered more evidence to support her theory.
37,garrulous / lity,"too talkative, loquacious, effusive / talkativeness",,n,A / CN,He became more garrulous after drinking a beer.
38,gaucherie,"socially awkward, tactless behavior        ",,n,N,"His incredible gaucheries apart, I had no reason for hating him."
39,germane,"relevant, pertinent to, apt   ",,p,A,The facts germane to the case.
40,gesticulate,to wave one's arms,,p,V,He was gesticulating wildly during his extempore.
41,gird,to prepare yourself to fight or to do something difficult ,,z,V,Both sides are girding for battle.
42,glean,gather facts in small quantities       ,,z,V,They spent days gleaning the files for information.
43,glib,ready and smooth but not sincere      ,,n,A,"Nowadays, all politicians’ speeches are glib."
44,gloat,over look at with selfish delight      ,,n,V,Never gloat after winning. Your win itself is a reflection.
45,glut,supply to much fill to excess      ,,n,N,The market is glutted with startups.
46,gnaw,"waste away, bite steadily        ",,z,V,The dog was gnawing a bone.
47,goad,to urge on,,p,V,He was goaded (on) by a sense of duty for his nation.
48,gossamer,"soft light delicate material, antonym of ponderous",,z,N,Shawls from Kashmir are all made of native gossamer fabrics.
49,gouge,to cut a deep hole in something,,z,N,The lamp fell and gouged the bedsheet.
50,grandiloquent,"Lofty in style, magniloquent, pompous, pontifical, portentous, overblown",,n,A,He's fond of making grandiloquent speeches about music.
51,gratuitous,"voluntary, free, not needed or required",,p,A,The film was criticised for its gratuitous violence.
52,gregarious,"living in societies, liking the company, social",,p,A,She is outgoing and gregarious.
53,gristle,tough elastic tissue; mostly converted to bone in adults,,z,N,"A cheap piece of meat, full of gristle and fat."
54,grouse,"to complain, grumble",,n,V,Fans have groused that the higher prices are unfair.
55,grovel,"crawl humble oneself , fawn, pander, to be toady",,z,V,The peasants grovelled before the king.
56,hack,cut roughly / hired horse        ,,z,V / PN,The victim had been hacked to death.
57,hackneyed,"commonplace by overuse, trite, banal, platitude, clichèd",,n,A,I am tired of your hackneyed jokes.
58,halcyon,calm and peaceful       ,,p,A,She looks back fondly recalling the halcyon days of her carefree youth.
59,hallow,to make holy consecrate        ,,p,V,The church stands on hallowed ground.
60,hapless,unlucky,,n,A,She plays the hapless heroine who is unlucky in love.
61,harangue,"a long passionate, forceful speech        ",,p,N,He delivered a long harangue about the evils of current administration.
62,harbinger,"something or somebody that foretells the coming of, warning signs",,z,N,The cool weather is a harbinger of winter.
63,harrow,"to distress, create stress or torment      ",,n,V,Survivors claim it to be a harrowing ordeal.
64,hedonism / t / tic,devotion to pleasure of the senses / pleasure seeker / epicurean,,z,N / A,Ashoka The Great gave up his hedonistic lifestyle for a more ascetic one.
65,hegemony,dominance of one state or ideology over another,,z,N,They discussed the government's hegemony over their local community.
66,hermetic,sealed by fusion         ,,z,A,Chemicals were transported in hermetically sealed containers.
67,hew,make by hard work cut (by striking)     ,,z,V,They hewed logs to build a cabin.
68,highbrow,(person) with superior tastes      ,,p,N,The book is generally looked down upon by literary highbrows.
69,hirsute,"hairy, shaggy          ",,z,A,The actor has a hirsute chest.
70,histrionic,"overly dull, characteristic of acting or a stage performance, melodramatic",,z,A,The prince in the play made overly histrionic gestures.
